Tahun	Populasi (juta)
1950	2555.0
1951	2607.7
1952	2661.1
1953	2715.4
1954	2770.4
1955	2826.2
1956	2882.7
1957	2940.1
1958	2998.2
1959	3057.0
1960	3116.6
1961	3177.0
1962	3238.1
1963	3299.9
1964	3362.5
1965	3425.8
1966	3489.8
1967	3554.5
1968	3619.8
1969	3685.9
1970	3752.6
1971	3820.0
1972	3888.0
1973	3956.7
1974	4025.9
1975	4095.8
1976	4166.2
1977	4237.2
1978	4308.8
1979	4380.8
1980	4453.4
1981	4526.4
1982	4600.0
1983	4673.9
1984	4748.3
1985	4823.2
1986	4898.3
1987	4973.9
1988	5049.8
1989	5126.0
1990	5202.4
1991	5279.2
1992	5356.2
1993	5433.4
1994	5510.8
1995	5588.3
1996	5666.0
1997	5743.9
1998	5821.8
1999	5899.7
2000	5977.7
