Tahun	Populasi (juta)
1950	2555.0
1951	2607.3
1952	2660.3
1953	2714.2
1954	2768.8
1955	2824.2
1956	2880.3
1957	2937.2
1958	2994.9
1959	3053.3
1960	3112.5
1961	3172.5
1962	3233.1
1963	3294.5
1964	3356.7
1965	3419.6
1966	3483.1
1967	3547.4
1968	3612.4
1969	3678.0
1970	3744.3
1971	3811.3
1972	3878.9
1973	3947.2
1974	4016.1
1975	4085.5
1976	4155.6
1977	4226.2
1978	4297.4
1979	4369.1
1980	4441.4
1981	4514.1
1982	4587.3
1983	4661.0
1984	4735.1
1985	4809.6
1986	4884.6
1987	4959.9
1988	5035.5
1989	5111.5
1990	5187.8
1991	5264.4
1992	5341.2
1993	5418.2
1994	5495.5
1995	5573.0
1996	5650.6
1997	5728.3
1998	5806.1
1999	5884.1
2000	5962.0
